what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1447798361200
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1447798361468
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1447798361468
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1447798361495
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1447798361655
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1447798361805
os,sysinfo,,,"macosx",1447798362351
arch,sysinfo,,,"x86_64",1447798362351
ws,sysinfo,,,"cocoa",1447798362351
locale,sysinfo,,,"en_US",1447798362351
processors,sysinfo,,,"2",1447798362351
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447798362351
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1447798362351
java.specification.name,sysinfo,,,"Java Platform API Specification",1447798362351
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1447798362351
java.specification.version,sysinfo,,,"1.6",1447798362351
java.vendor,sysinfo,,,"Apple Inc.",1447798362351
java.version,sysinfo,,,"1.6.0_65",1447798362351
java.vm.info,sysinfo,,,"mixed mode",1447798362351
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1447798362352
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447798362352
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1447798362352
java.vm.specification.version,sysinfo,,,"1.0",1447798362352
java.vm.vendor,sysinfo,,,"Apple Inc.",1447798362352
java.vm.version,sysinfo,,,"20.65-b04-462",1447798362352
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447798364823
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1447798369714
